  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS         H              RH             GH             H+             H-             GH2            H2+            RH2            H3+            He          
      1.020E+014     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     8.500E-002
      1.093E+014     7.834E-010     0.000E+000     0.000E+000     1.901E-014     3.230E-016     0.000E+000     1.512E-016     0.000E+000     1.517E-013     8.500E-002
      1.171E+014     1.563E-009     0.000E+000     0.000E+000     2.164E-014     3.708E-016     0.000E+000     1.736E-016     0.000E+000     1.735E-013     8.500E-002
      1.255E+014     2.331E-009     0.000E+000     0.000E+000     2.463E-014     4.256E-016     0.000E+000     1.993E-016     0.000E+000     1.983E-013     8.500E-002
      1.345E+014     3.090E-009     0.000E+000     0.000E+000     2.804E-014     4.886E-016     0.000E+000     2.288E-016     0.000E+000     2.267E-013     8.500E-002
      1.441E+014     3.838E-009     0.000E+000     0.000E+000     3.191E-014     5.609E-016     0.000E+000     2.627E-016     0.000E+000     2.591E-013     8.500E-002
      1.544E+014     4.574E-009     0.000E+000     0.000E+000     3.632E-014     6.439E-016     0.000E+000     3.016E-016     0.000E+000     2.961E-013     8.500E-002
      1.654E+014     5.301E-009     0.000E+000     0.000E+000     4.133E-014     7.392E-016     0.000E+000     3.463E-016     0.000E+000     3.384E-013     8.500E-002
      1.773E+014     6.026E-009     0.000E+000     0.000E+000     4.703E-014     8.485E-016     0.000E+000     3.976E-016     0.000E+000     3.867E-013     8.500E-002
      1.899E+014     6.759E-009     0.000E+000     0.000E+000     5.351E-014     9.740E-016     0.000E+000     4.565E-016     0.000E+000     4.419E-013     8.500E-002
      2.035E+014     7.513E-009     0.000E+000     0.000E+000     6.088E-014     1.118E-015     0.000E+000     5.242E-016     0.000E+000     5.049E-013     8.500E-002
      2.181E+014     8.298E-009     0.000E+000     0.000E+000     6.925E-014     1.283E-015     0.000E+000     6.018E-016     0.000E+000     5.768E-013     8.500E-002
      2.337E+014     9.123E-009     0.000E+000     0.000E+000     7.877E-014     1.473E-015     0.000E+000     6.910E-016     0.000E+000     6.590E-013     8.500E-002
