  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS         H              RH             GH             H+             H-             GH2            H2+            RH2            H3+            He          
      1.020E+014     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     8.500E-002
      1.093E+014     3.656E-010     0.000E+000     0.000E+000     5.707E-016     9.703E-018     0.000E+000     4.535E-018     0.000E+000     4.553E-015     8.500E-002
      1.171E+014     4.991E-010     0.000E+000     0.000E+000     6.498E-016     1.114E-017     0.000E+000     5.207E-018     0.000E+000     5.205E-015     8.500E-002
      1.255E+014     6.053E-010     0.000E+000     0.000E+000     7.397E-016     1.279E-017     0.000E+000     5.979E-018     0.000E+000     5.951E-015     8.500E-002
      1.345E+014     6.962E-010     0.000E+000     0.000E+000     8.421E-016     1.469E-017     0.000E+000     6.865E-018     0.000E+000     6.802E-015     8.500E-002
      1.441E+014     7.783E-010     0.000E+000     0.000E+000     9.585E-016     1.686E-017     0.000E+000     7.882E-018     0.000E+000     7.775E-015     8.500E-002
      1.544E+014     8.552E-010     0.000E+000     0.000E+000     1.091E-015     1.936E-017     0.000E+000     9.049E-018     0.000E+000     8.886E-015     8.500E-002
      1.654E+014     9.298E-010     0.000E+000     0.000E+000     1.242E-015     2.223E-017     0.000E+000     1.039E-017     0.000E+000     1.016E-014     8.500E-002
      1.773E+014     1.006E-009     0.000E+000     0.000E+000     1.413E-015     2.552E-017     0.000E+000     1.193E-017     0.000E+000     1.161E-014     8.500E-002
      1.899E+014     1.087E-009     0.000E+000     0.000E+000     1.608E-015     2.930E-017     0.000E+000     1.370E-017     0.000E+000     1.326E-014     8.500E-002
      2.035E+014     1.178E-009     0.000E+000     0.000E+000     1.829E-015     3.364E-017     0.000E+000     1.573E-017     0.000E+000     1.515E-014     8.500E-002
      2.181E+014     1.281E-009     0.000E+000     0.000E+000     2.081E-015     3.862E-017     0.000E+000     1.806E-017     0.000E+000     1.731E-014     8.500E-002
      2.337E+014     1.400E-009     0.000E+000     0.000E+000     2.367E-015     4.434E-017     0.000E+000     2.073E-017     0.000E+000     1.978E-014     8.500E-002
      2.504E+014     1.535E-009     0.000E+000     0.000E+000     2.693E-015     5.091E-017     0.000E+000     2.380E-017     0.000E+000     2.259E-014     8.500E-002
      2.683E+014     1.688E-009     0.000E+000     0.000E+000     3.063E-015     5.845E-017     0.000E+000     2.733E-017     0.000E+000     2.581E-014     8.500E-002
      2.875E+014     1.858E-009     0.000E+000     0.000E+000     3.483E-015     6.711E-017     0.000E+000     3.138E-017     0.000E+000     2.948E-014     8.500E-002
      3.080E+014     2.048E-009     0.000E+000     0.000E+000     3.961E-015     7.705E-017     0.000E+000     3.602E-017     0.000E+000     3.366E-014     8.500E-002
      3.301E+014     2.257E-009     0.000E+000     0.000E+000     4.503E-015     8.846E-017     0.000E+000     4.136E-017     0.000E+000     3.844E-014     8.500E-002
      3.537E+014     2.487E-009     0.000E+000     0.000E+000     5.120E-015     1.016E-016     0.000E+000     4.749E-017     0.000E+000     4.390E-014     8.500E-002
      3.790E+014     2.739E-009     0.000E+000     0.000E+000     5.821E-015     1.166E-016     0.000E+000     5.452E-017     0.000E+000     5.012E-014     8.500E-002
      4.061E+014     3.013E-009     0.000E+000     0.000E+000     6.617E-015     1.339E-016     0.000E+000     6.260E-017     0.000E+000     5.722E-014     8.500E-002
      4.351E+014     3.310E-009     0.000E+000     0.000E+000     7.521E-015     1.537E-016     0.000E+000     7.188E-017     0.000E+000     6.532E-014     8.500E-002
      4.662E+014     3.631E-009     0.000E+000     0.000E+000     8.548E-015     1.764E-016     0.000E+000     8.253E-017     0.000E+000     7.457E-014     8.500E-002
      4.996E+014     3.977E-009     0.000E+000     0.000E+000     9.714E-015     2.026E-016     0.000E+000     9.475E-017     0.000E+000     8.511E-014     8.500E-002
      5.353E+014     4.351E-009     0.000E+000     0.000E+000     1.104E-014     2.326E-016     0.000E+000     1.088E-016     0.000E+000     9.714E-014     8.500E-002
      5.736E+014     4.755E-009     0.000E+000     0.000E+000     1.254E-014     2.670E-016     0.000E+000     1.249E-016     0.000E+000     1.109E-013     8.500E-002
      6.146E+014     5.196E-009     0.000E+000     0.000E+000     1.425E-014     3.065E-016     0.000E+000     1.434E-016     0.000E+000     1.265E-013     8.500E-002
      6.586E+014     5.677E-009     0.000E+000     0.000E+000     1.619E-014     3.519E-016     0.000E+000     1.647E-016     0.000E+000     1.443E-013     8.500E-002
      7.057E+014     6.203E-009     0.000E+000     0.000E+000     1.839E-014     4.040E-016     0.000E+000     1.891E-016     0.000E+000     1.647E-013     8.500E-002
      7.561E+014     6.781E-009     0.000E+000     0.000E+000     2.088E-014     4.638E-016     0.000E+000     2.171E-016     0.000E+000     1.878E-013     8.500E-002
      8.102E+014     7.415E-009     0.000E+000     0.000E+000     2.372E-014     5.325E-016     0.000E+000     2.492E-016     0.000E+000     2.143E-013     8.500E-002
      8.682E+014     8.110E-009     0.000E+000     0.000E+000     2.693E-014     6.113E-016     0.000E+000     2.861E-016     0.000E+000     2.444E-013     8.500E-002
      9.303E+014     8.871E-009     0.000E+000     0.000E+000     3.058E-014     7.018E-016     0.000E+000     3.285E-016     0.000E+000     2.787E-013     8.500E-002
      9.968E+014     9.704E-009     0.000E+000     0.000E+000     3.472E-014     8.057E-016     0.000E+000     3.772E-016     0.000E+000     3.178E-013     8.500E-002
      1.068E+015     1.061E-008     0.000E+000     0.000E+000     3.942E-014     9.249E-016     0.000E+000     4.331E-016     0.000E+000     3.624E-013     8.500E-002
      1.144E+015     1.160E-008     0.000E+000     0.000E+000     4.474E-014     1.062E-015     0.000E+000     4.972E-016     0.000E+000     4.131E-013     8.500E-002
      1.226E+015     1.268E-008     0.000E+000     0.000E+000     5.078E-014     1.219E-015     0.000E+000     5.709E-016     0.000E+000     4.710E-013     8.500E-002
      1.314E+015     1.386E-008     0.000E+000     0.000E+000     5.763E-014     1.399E-015     0.000E+000     6.555E-016     0.000E+000     5.369E-013     8.500E-002
      1.408E+015     1.513E-008     0.000E+000     0.000E+000     6.539E-014     1.606E-015     0.000E+000     7.526E-016     0.000E+000     6.119E-013     8.500E-002
      1.509E+015     1.651E-008     0.000E+000     0.000E+000     7.419E-014     1.844E-015     0.000E+000     8.641E-016     0.000E+000     6.974E-013     8.500E-002
      1.617E+015     1.801E-008     0.000E+000     0.000E+000     8.417E-014     2.116E-015     0.000E+000     9.921E-016     0.000E+000     7.947E-013     8.500E-002
      1.732E+015     1.963E-008     0.000E+000     0.000E+000     9.548E-014     2.429E-015     0.000E+000     1.139E-015     0.000E+000     9.054E-013     8.500E-002
      1.856E+015     2.138E-008     0.000E+000     0.000E+000     1.083E-013     2.789E-015     0.000E+000     1.308E-015     0.000E+000     1.032E-012     8.500E-002
      1.989E+015     2.326E-008     0.000E+000     0.000E+000     1.228E-013     3.201E-015     0.000E+000     1.502E-015     0.000E+000     1.175E-012     8.500E-002
      2.131E+015     2.530E-008     0.000E+000     0.000E+000     1.393E-013     3.674E-015     0.000E+000     1.724E-015     0.000E+000     1.338E-012     8.500E-002
      2.283E+015     2.750E-008     0.000E+000     0.000E+000     1.579E-013     4.217E-015     0.000E+000     1.980E-015     0.000E+000     1.524E-012     8.500E-002
      2.447E+015     2.988E-008     0.000E+000     0.000E+000     1.790E-013     4.840E-015     0.000E+000     2.273E-015     0.000E+000     1.736E-012     8.500E-002
      2.622E+015     3.244E-008     0.000E+000     0.000E+000     2.030E-013     5.555E-015     0.000E+000     2.609E-015     0.000E+000     1.977E-012     8.500E-002
      2.809E+015     3.521E-008     0.000E+000     0.000E+000     2.301E-013     6.375E-015     0.000E+000     2.996E-015     0.000E+000     2.250E-012     8.500E-002
      3.010E+015     3.818E-008     0.000E+000     0.000E+000     2.607E-013     7.317E-015     0.000E+000     3.440E-015     0.000E+000     2.562E-012     8.500E-002
      3.226E+015     4.139E-008     0.000E+000     0.000E+000     2.954E-013     8.397E-015     0.000E+000     3.950E-015     0.000E+000     2.916E-012     8.500E-002
      3.456E+015     4.484E-008     0.000E+000     0.000E+000     3.348E-013     9.636E-015     0.000E+000     4.535E-015     0.000E+000     3.319E-012     8.500E-002
      3.703E+015     4.856E-008     0.000E+000     0.000E+000     3.793E-013     1.106E-014     0.000E+000     5.206E-015     0.000E+000     3.777E-012     8.500E-002
      3.968E+015     5.255E-008     0.000E+000     0.000E+000     4.296E-013     1.269E-014     0.000E+000     5.978E-015     0.000E+000     4.297E-012     8.500E-002
      4.252E+015     5.685E-008     0.000E+000     0.000E+000     4.866E-013     1.456E-014     0.000E+000     6.863E-015     0.000E+000     4.889E-012     8.500E-002
      4.556E+015     6.146E-008     0.000E+000     0.000E+000     5.511E-013     1.671E-014     0.000E+000     7.880E-015     0.000E+000     5.561E-012     8.500E-002
      4.882E+015     6.641E-008     0.000E+000     0.000E+000     6.240E-013     1.917E-014     0.000E+000     9.048E-015     0.000E+000     6.325E-012     8.500E-002
      5.231E+015     7.173E-008     0.000E+000     0.000E+000     7.065E-013     2.199E-014     0.000E+000     1.039E-014     0.000E+000     7.193E-012     8.500E-002
      5.605E+015     7.743E-008     0.000E+000     0.000E+000     7.999E-013     2.523E-014     0.000E+000     1.193E-014     0.000E+000     8.180E-012     8.500E-002
      6.006E+015     8.355E-008     0.000E+000     0.000E+000     9.054E-013     2.894E-014     0.000E+000     1.369E-014     0.000E+000     9.300E-012     8.500E-002
      6.436E+015     9.011E-008     0.000E+000     0.000E+000     1.025E-012     3.320E-014     0.000E+000     1.572E-014     0.000E+000     1.057E-011     8.500E-002
      6.896E+015     9.714E-008     0.000E+000     0.000E+000     1.160E-012     3.808E-014     0.000E+000     1.805E-014     0.000E+000     1.202E-011     8.500E-002
      7.389E+015     1.047E-007     0.000E+000     0.000E+000     1.312E-012     4.368E-014     0.000E+000     2.073E-014     0.000E+000     1.366E-011     8.500E-002
      7.918E+015     1.128E-007     0.000E+000     0.000E+000     1.485E-012     5.009E-014     0.000E+000     2.380E-014     0.000E+000     1.552E-011     8.500E-002
      8.484E+015     1.214E-007     0.000E+000     0.000E+000     1.680E-012     5.744E-014     0.000E+000     2.732E-014     0.000E+000     1.763E-011     8.500E-002
      9.091E+015     1.307E-007     0.000E+000     0.000E+000     1.900E-012     6.587E-014     0.000E+000     3.137E-014     0.000E+000     2.003E-011     8.500E-002
      9.741E+015     1.406E-007     0.000E+000     0.000E+000     2.149E-012     7.552E-014     0.000E+000     3.602E-014     0.000E+000     2.275E-011     8.500E-002
      1.044E+016     1.513E-007     0.000E+000     0.000E+000     2.430E-012     8.658E-014     0.000E+000     4.135E-014     0.000E+000     2.583E-011     8.500E-002
      1.118E+016     1.627E-007     0.000E+000     0.000E+000     2.748E-012     9.925E-014     0.000E+000     4.748E-014     0.000E+000     2.933E-011     8.500E-002
