  ** CALCULATED NUMBER DENSITIES (/CM^3) ** 


   RADIUS         H              RH             GH             H+             H-             GH2            H2+            RH2            H3+            He          
      1.020E+014     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     3.683E+006
      1.093E+014     2.938E+007     0.000E+000     0.000E+000     1.451E-001     1.667E-008     0.000E+000     3.227E-009     0.000E+000     5.333E-007     3.208E+006
      1.171E+014     2.704E+007     0.000E+000     0.000E+000     6.514E-003     1.853E-008     0.000E+000     1.559E-009     0.000E+000     3.033E-007     2.794E+006
      1.255E+014     2.312E+007     0.000E+000     0.000E+000     3.662E-004     1.834E-008     0.000E+000     1.610E-009     0.000E+000     4.324E-007     2.433E+006
      1.345E+014     1.967E+007     0.000E+000     0.000E+000     1.558E-004     1.403E-008     0.000E+000     1.747E-009     0.000E+000     6.188E-007     2.119E+006
      1.441E+014     1.676E+007     0.000E+000     0.000E+000     1.350E-004     1.071E-008     0.000E+000     1.872E-009     0.000E+000     7.832E-007     1.846E+006
      1.544E+014     1.430E+007     0.000E+000     0.000E+000     1.260E-004     1.069E-008     0.000E+000     1.982E-009     0.000E+000     9.157E-007     1.608E+006
      1.654E+014     1.222E+007     0.000E+000     0.000E+000     1.181E-004     1.222E-008     0.000E+000     2.080E-009     0.000E+000     1.042E-006     1.400E+006
      1.773E+014     1.046E+007     0.000E+000     0.000E+000     1.098E-004     1.310E-008     0.000E+000     2.170E-009     0.000E+000     1.176E-006     1.220E+006
      1.899E+014     8.956E+006     0.000E+000     0.000E+000     1.012E-004     1.291E-008     0.000E+000     2.252E-009     0.000E+000     1.313E-006     1.062E+006
      2.035E+014     7.677E+006     0.000E+000     0.000E+000     9.210E-005     1.156E-008     0.000E+000     2.327E-009     0.000E+000     1.447E-006     9.252E+005
      2.181E+014     6.587E+006     0.000E+000     0.000E+000     8.224E-005     1.107E-008     0.000E+000     2.396E-009     0.000E+000     1.563E-006     8.058E+005
      2.337E+014     5.657E+006     0.000E+000     0.000E+000     7.134E-005     1.041E-008     0.000E+000     2.459E-009     0.000E+000     1.656E-006     7.018E+005
      2.504E+014     4.862E+006     0.000E+000     0.000E+000     6.001E-005     9.630E-009     0.000E+000     2.517E-009     0.000E+000     1.719E-006     6.113E+005
      2.683E+014     4.183E+006     0.000E+000     0.000E+000     4.964E-005     8.809E-009     0.000E+000     2.571E-009     0.000E+000     1.751E-006     5.324E+005
      2.875E+014     3.599E+006     0.000E+000     0.000E+000     2.465E-005     7.971E-009     0.000E+000     2.620E-009     0.000E+000     1.465E-006     4.637E+005
      3.080E+014     3.100E+006     0.000E+000     0.000E+000     2.032E-005     7.159E-009     0.000E+000     2.666E-009     0.000E+000     1.410E-006     4.039E+005
      3.301E+014     2.673E+006     0.000E+000     0.000E+000     1.861E-005     6.398E-009     0.000E+000     2.707E-009     0.000E+000     1.404E-006     3.517E+005
      3.537E+014     2.307E+006     0.000E+000     0.000E+000     1.760E-005     5.688E-009     0.000E+000     2.744E-009     0.000E+000     1.412E-006     3.064E+005
      3.790E+014     1.992E+006     0.000E+000     0.000E+000     1.686E-005     5.029E-009     0.000E+000     2.777E-009     0.000E+000     1.423E-006     2.668E+005
      4.061E+014     1.722E+006     0.000E+000     0.000E+000     1.626E-005     4.422E-009     0.000E+000     2.806E-009     0.000E+000     1.433E-006     2.324E+005
      4.351E+014     1.489E+006     0.000E+000     0.000E+000     1.573E-005     3.869E-009     0.000E+000     2.833E-009     0.000E+000     1.441E-006     2.024E+005
      4.662E+014     1.289E+006     0.000E+000     0.000E+000     1.525E-005     3.369E-009     0.000E+000     2.857E-009     0.000E+000     1.446E-006     1.763E+005
