  **  PHYSICAL PARAMETERS  **


   RADIUS      n(H2)       TEMP.       A_V         RAD.FIELD   K(ICOR)     K(ICOIP)    K(ICOAP)    DELTA_AUV   T_DUST      NMONO       ALL_ICE     
   1.314E+015  8.703E+006  2.364E+002  3.058E+001  1.955E-064  0.000E+000  0.000E+000  0.000E+000  1.726E+003  9.767E+002         NaN  0.000E+000
   1.408E+015  7.580E+006  2.252E+002  2.854E+001  2.653E-060  0.000E+000  0.000E+000  0.000E+000  1.736E+003  9.767E+002         NaN  0.000E+000
   1.509E+015  6.602E+006  2.146E+002  2.663E+001  1.914E-056  0.000E+000  0.000E+000  0.000E+000  1.745E+003  9.767E+002         NaN  0.000E+000
   1.617E+015  5.750E+006  2.045E+002  2.486E+001  7.663E-053  0.000E+000  0.000E+000  0.000E+000  1.753E+003  9.767E+002         NaN  0.000E+000
   1.732E+015  5.008E+006  1.948E+002  2.320E+001  1.774E-049  0.000E+000  0.000E+000  0.000E+000  1.761E+003  9.767E+002         NaN  0.000E+000
   1.856E+015  4.362E+006  1.856E+002  2.165E+001  2.465E-046  0.000E+000  0.000E+000  0.000E+000  1.768E+003  9.767E+002         NaN  0.000E+000
   1.989E+015  3.799E+006  1.769E+002  2.020E+001  2.129E-043  0.000E+000  0.000E+000  0.000E+000  1.774E+003  9.767E+002         NaN  0.000E+000
   2.131E+015  3.309E+006  1.685E+002  1.885E+001  1.182E-040  0.000E+000  0.000E+000  0.000E+000  1.781E+003  9.767E+002         NaN  0.000E+000
   2.283E+015  2.882E+006  1.606E+002  1.760E+001  4.342E-038  0.000E+000  0.000E+000  0.000E+000  1.787E+003  9.767E+002         NaN  0.000E+000
   2.447E+015  2.510E+006  1.530E+002  1.642E+001  1.086E-035  0.000E+000  0.000E+000  0.000E+000  1.792E+003  9.767E+002         NaN  0.000E+000
   2.622E+015  2.186E+006  1.458E+002  1.533E+001  1.899E-033  0.000E+000  0.000E+000  0.000E+000  1.797E+003  9.767E+002         NaN  0.000E+000
   2.809E+015  1.904E+006  1.389E+002  1.430E+001  2.375E-031  0.000E+000  0.000E+000  0.000E+000  1.802E+003  9.767E+002         NaN  0.000E+000
   3.010E+015  1.658E+006  1.323E+002  1.335E+001  2.173E-029  0.000E+000  0.000E+000  0.000E+000  1.806E+003  9.767E+002         NaN  0.000E+000
   3.226E+015  1.444E+006  1.261E+002  1.246E+001  1.484E-027  0.000E+000  0.000E+000  0.000E+000  1.810E+003  9.767E+002         NaN  0.000E+000
   3.456E+015  1.258E+006  1.201E+002  1.163E+001  7.709E-026  0.000E+000  0.000E+000  0.000E+000  1.814E+003  9.767E+002         NaN  0.000E+000
   3.703E+015  1.096E+006  1.144E+002  1.085E+001  3.099E-024  0.000E+000  0.000E+000  0.000E+000  1.818E+003  9.767E+002         NaN  0.000E+000
   3.968E+015  9.543E+005  1.090E+002  1.013E+001  9.796E-023  0.000E+000  0.000E+000  0.000E+000  1.821E+003  9.767E+002         NaN  0.000E+000
   4.252E+015  8.312E+005  1.039E+002  9.450E+000  2.473E-021  0.000E+000  0.000E+000  0.000E+000  1.824E+003  9.767E+002         NaN  0.000E+000
   4.556E+015  7.239E+005  9.900E+001  8.819E+000  5.058E-020  0.000E+000  0.000E+000  0.000E+000  1.827E+003  9.767E+002         NaN  0.000E+000
   4.882E+015  6.305E+005  9.432E+001  8.230E+000  8.493E-019  0.000E+000  0.000E+000  0.000E+000  1.830E+003  9.767E+002         NaN  0.000E+000
   5.231E+015  5.491E+005  8.987E+001  7.681E+000  1.186E-017  0.000E+000  0.000E+000  0.000E+000  1.833E+003  9.767E+002         NaN  0.000E+000
   5.605E+015  4.783E+005  8.563E+001  7.168E+000  1.392E-016  0.000E+000  0.000E+000  0.000E+000  1.835E+003  9.767E+002         NaN  0.000E+000
   6.006E+015  4.166E+005  8.159E+001  6.690E+000  1.390E-015  0.000E+000  0.000E+000  0.000E+000  1.837E+003  9.767E+002         NaN  0.000E+000
   6.436E+015  3.628E+005  7.773E+001  6.243E+000  1.194E-014  0.000E+000  0.000E+000  0.000E+000  1.839E+003  9.767E+002         NaN  0.000E+000
   6.896E+015  3.160E+005  7.407E+001  5.827E+000  8.901E-014  0.000E+000  0.000E+000  0.000E+000  1.841E+003  9.767E+002         NaN  0.000E+000
   7.389E+015  2.752E+005  7.057E+001  5.438E+000  5.815E-013  0.000E+000  0.000E+000  0.000E+000  1.843E+003  9.767E+002         NaN  0.000E+000
   7.918E+015  2.397E+005  6.724E+001  5.075E+000  3.358E-012  0.000E+000  0.000E+000  0.000E+000  1.845E+003  9.767E+002         NaN  0.000E+000
   8.484E+015  2.088E+005  6.406E+001  4.736E+000  1.729E-011  0.000E+000  0.000E+000  0.000E+000  1.846E+003  9.767E+002         NaN  0.000E+000
   9.091E+015  1.818E+005  6.104E+001  4.420E+000  7.995E-011  0.000E+000  0.000E+000  0.000E+000  1.848E+003  9.767E+002         NaN  0.000E+000
   9.741E+015  1.584E+005  5.816E+001  4.125E+000  3.346E-010  0.000E+000  0.000E+000  0.000E+000  1.849E+003  9.767E+002         NaN  0.000E+000
   1.044E+016  1.379E+005  5.541E+001  3.850E+000  1.276E-009  2.235E-021  0.000E+000  0.000E+000  1.850E+003  9.767E+002         NaN  0.000E+000
   1.118E+016  1.201E+005  5.280E+001  3.593E+000  4.463E-009  6.101E-021  0.000E+000  0.000E+000  1.852E+003  9.767E+002         NaN  0.000E+000
   1.198E+016  1.046E+005  5.031E+001  3.353E+000  1.441E-008  2.005E-020  0.000E+000  0.000E+000  1.853E+003  9.767E+002         NaN  0.000E+000
   1.284E+016  9.114E+004  4.793E+001  3.129E+000  4.314E-008  5.836E-020  0.000E+000  0.000E+000  1.854E+003  9.767E+002         NaN  0.000E+000
   1.376E+016  7.938E+004  4.567E+001  2.920E+000  1.205E-007  1.522E-019  0.000E+000  0.000E+000  1.855E+003  9.767E+002         NaN  0.000E+000
   1.474E+016  6.913E+004  4.351E+001  2.725E+000  3.154E-007  4.217E-019  0.000E+000  0.000E+000  1.856E+003  9.767E+002         NaN  0.000E+000
   1.580E+016  6.021E+004  4.146E+001  2.543E+000  7.772E-007  1.048E-018  0.000E+000  0.000E+000  1.857E+003  9.767E+002         NaN  0.000E+000
   1.693E+016  5.244E+004  3.950E+001  2.374E+000  1.810E-006  2.663E-018  0.000E+000  0.000E+000  1.857E+003  9.767E+002         NaN  0.000E+000
   1.814E+016  4.568E+004  3.764E+001  2.215E+000  4.001E-006  5.429E-018  0.000E+000  0.000E+000  1.858E+003  9.767E+002         NaN  0.000E+000
   1.944E+016  3.978E+004  3.586E+001  2.067E+000  8.420E-006  1.173E-017  0.000E+000  0.000E+000  1.859E+003  9.767E+002         NaN  0.000E+000
   2.083E+016  3.465E+004  3.417E+001  1.929E+000  1.692E-005  2.473E-017  0.000E+000  0.000E+000  1.859E+003  9.767E+002         NaN  0.000E+000
   2.232E+016  3.018E+004  3.255E+001  1.801E+000  3.258E-005  4.814E-017  0.000E+000  0.000E+000  1.860E+003  9.767E+002         NaN  0.000E+000
   2.391E+016  2.628E+004  3.102E+001  1.680E+000  6.026E-005  9.483E-017  0.000E+000  0.000E+000  1.861E+003  9.767E+002         NaN  0.000E+000
   2.562E+016  2.289E+004  2.955E+001  1.568E+000  1.073E-004  1.740E-016  0.000E+000  0.000E+000  1.861E+003  9.767E+002         NaN  0.000E+000
   2.745E+016  1.994E+004  2.816E+001  1.464E+000  1.844E-004  3.192E-016  0.000E+000  0.000E+000  1.862E+003  9.767E+002         NaN  0.000E+000
   2.942E+016  1.737E+004  2.683E+001  1.366E+000  3.066E-004  5.621E-016  0.000E+000  0.000E+000  1.862E+003  9.767E+002         NaN  0.000E+000
   3.152E+016  1.512E+004  2.556E+001  1.275E+000  4.940E-004  9.531E-016  0.000E+000  0.000E+000  1.862E+003  9.767E+002         NaN  0.000E+000
   3.378E+016  1.317E+004  2.436E+001  1.190E+000  7.730E-004  1.573E-015  0.000E+000  0.000E+000  1.863E+003  9.767E+002         NaN  0.000E+000
   3.619E+016  1.147E+004  2.321E+001  1.110E+000  1.177E-003  2.519E-015  0.000E+000  0.000E+000  1.863E+003  9.767E+002         NaN  0.000E+000
   3.878E+016  9.993E+003  2.211E+001  1.036E+000  1.747E-003  4.007E-015  0.000E+000  0.000E+000  1.864E+003  9.767E+002         NaN  0.000E+000
   4.155E+016  8.703E+003  2.107E+001  9.670E-001  2.530E-003  6.215E-015  0.000E+000  0.000E+000  1.864E+003  9.767E+002         NaN  0.000E+000
   4.452E+016  7.580E+003  2.007E+001  9.024E-001  3.584E-003  9.410E-015  0.000E+000  0.000E+000  1.864E+003  9.767E+002         NaN  0.000E+000
   4.771E+016  6.602E+003  1.913E+001  8.422E-001  4.971E-003  1.383E-014  0.000E+000  0.000E+000  1.864E+003  9.767E+002         NaN  0.000E+000
   5.112E+016  5.750E+003  1.822E+001  7.860E-001  6.761E-003  2.029E-014  0.000E+000  0.000E+000  1.865E+003  9.767E+002         NaN  0.000E+000
   5.478E+016  5.008E+003  1.736E+001  7.335E-001  9.027E-003  2.903E-014  0.000E+000  0.000E+000  1.865E+003  9.767E+002         NaN  0.000E+000
   5.869E+016  4.362E+003  1.654E+001  6.846E-001  1.185E-002  4.063E-014  0.000E+000  0.000E+000  1.865E+003  9.767E+002         NaN  0.000E+000
   6.289E+016  3.799E+003  1.576E+001  6.389E-001  1.530E-002  5.654E-014  0.000E+000  0.000E+000  1.865E+003  9.767E+002         NaN  0.000E+000
   6.739E+016  3.309E+003  1.502E+001  5.962E-001  1.947E-002  7.756E-014  0.000E+000  0.000E+000  1.866E+003  9.767E+002         NaN  0.000E+000
   7.221E+016  2.882E+003  1.431E+001  5.564E-001  2.442E-002  1.037E-013  0.000E+000  0.000E+000  1.866E+003  9.767E+002         NaN  0.000E+000
   7.737E+016  2.510E+003  1.363E+001  5.193E-001  3.024E-002  1.373E-013  0.000E+000  0.000E+000  1.866E+003  9.767E+002         NaN  0.000E+000
   8.291E+016  2.186E+003  1.299E+001  4.846E-001  3.698E-002  1.800E-013  0.000E+000  0.000E+000  1.866E+003  9.767E+002         NaN  0.000E+000
   8.884E+016  1.904E+003  1.238E+001  4.523E-001  4.470E-002  2.336E-013  0.000E+000  0.000E+000  1.866E+003  9.767E+002         NaN  0.000E+000
   9.519E+016  1.658E+003  1.179E+001  4.221E-001  5.344E-002  3.019E-013  0.000E+000  0.000E+000  1.866E+003  9.767E+002         NaN  0.000E+000
   1.020E+017  1.444E+003  1.124E+001  3.939E-001  6.324E-002  3.804E-013  0.000E+000  0.000E+000  1.867E+003  9.767E+002         NaN  0.000E+000
   1.093E+017  1.258E+003  1.071E+001  3.676E-001  7.412E-002  4.860E-013  0.000E+000  0.000E+000  1.867E+003  9.767E+002         NaN  0.000E+000
   1.171E+017  1.096E+003  1.020E+001  3.431E-001  8.608E-002  5.974E-013  0.000E+000  0.000E+000  1.867E+003  9.767E+002         NaN  0.000E+000
   1.255E+017  9.543E+002  1.000E+001  3.202E-001  9.911E-002  7.441E-013  0.000E+000  0.000E+000  1.867E+003  9.767E+002         NaN  0.000E+000
   1.345E+017  8.312E+002  1.000E+001  2.988E-001  1.132E-001  9.135E-013  0.000E+000  0.000E+000  1.867E+003  9.767E+002         NaN  0.000E+000
   1.441E+017  7.239E+002  1.000E+001  2.789E-001  1.283E-001  1.111E-012  0.000E+000  0.000E+000  1.867E+003  9.767E+002         NaN  0.000E+000
   1.544E+017  6.305E+002  1.000E+001  2.603E-001  1.444E-001  1.352E-012  0.000E+000  0.000E+000  1.867E+003  9.767E+002         NaN  0.000E+000
   1.654E+017  5.491E+002  1.000E+001  2.429E-001  1.613E-001  1.630E-012  0.000E+000  0.000E+000  1.867E+003  9.767E+002         NaN  0.000E+000
   1.773E+017  4.783E+002  1.000E+001  2.267E-001  1.792E-001  1.972E-012  0.000E+000  0.000E+000  1.867E+003  9.767E+002         NaN  0.000E+000
   1.899E+017  4.166E+002  1.000E+001  2.116E-001  1.978E-001  2.382E-012  0.000E+000  0.000E+000  1.867E+003  9.767E+002         NaN  0.000E+000
   2.035E+017  3.628E+002  1.000E+001  1.974E-001  2.171E-001  2.855E-012  0.000E+000  0.000E+000  1.867E+003  9.767E+002         NaN  0.000E+000
   2.181E+017  3.160E+002  1.000E+001  1.843E-001  2.371E-001  3.450E-012  0.000E+000  0.000E+000  1.868E+003  9.767E+002         NaN  0.000E+000
   2.337E+017  2.752E+002  1.000E+001  1.720E-001  2.575E-001  4.180E-012  0.000E+000  0.000E+000  1.868E+003  9.767E+002         NaN  0.000E+000
   2.504E+017  2.397E+002  1.000E+001  1.605E-001  2.785E-001  5.083E-012  0.000E+000  0.000E+000  1.868E+003  9.767E+002         NaN  0.000E+000
   2.683E+017  2.088E+002  1.000E+001  1.498E-001  2.998E-001  6.308E-012  0.000E+000  0.000E+000  1.868E+003  9.767E+002         NaN  0.000E+000
   2.875E+017  1.818E+002  1.000E+001  1.398E-001  3.214E-001  7.949E-012  0.000E+000  0.000E+000  1.868E+003  9.767E+002         NaN  0.000E+000
   3.080E+017  1.584E+002  1.000E+001  1.304E-001  3.433E-001  1.032E-011  0.000E+000  0.000E+000  1.868E+003  9.767E+002         NaN  0.000E+000
   3.301E+017  1.379E+002  1.000E+001  1.217E-001  3.652E-001  1.395E-011  0.000E+000  0.000E+000  1.868E+003  9.767E+002         NaN  0.000E+000
   3.537E+017  1.201E+002  1.000E+001  1.136E-001  3.873E-001  2.022E-011  0.000E+000  0.000E+000  1.868E+003  9.767E+002         NaN  0.000E+000
   3.790E+017  1.046E+002  1.000E+001  1.060E-001  4.093E-001  3.289E-011  0.000E+000  0.000E+000  1.868E+003  9.767E+002         NaN  0.000E+000
   4.061E+017  9.114E+001  1.000E+001  9.895E-002  4.312E-001  5.546E-011  0.000E+000  0.000E+000  1.868E+003  9.767E+002         NaN  0.000E+000
   4.351E+017  7.938E+001  1.000E+001  9.235E-002  4.530E-001  8.021E-011  0.000E+000  0.000E+000  1.868E+003  9.767E+002         NaN  0.000E+000
   4.662E+017  6.913E+001  1.000E+001  8.618E-002  4.746E-001  9.306E-011  0.000E+000  0.000E+000  1.868E+003  9.767E+002         NaN  0.000E+000
   4.996E+017  6.021E+001  1.000E+001  8.043E-002  4.959E-001  9.870E-011  0.000E+000  0.000E+000  1.868E+003  9.767E+002         NaN  0.000E+000
   5.353E+017  5.244E+001  1.000E+001  7.506E-002  5.168E-001  1.029E-010  0.000E+000  0.000E+000  1.868E+003  9.767E+002         NaN  0.000E+000
   5.736E+017  4.568E+001  1.000E+001  7.005E-002  5.374E-001  1.071E-010  0.000E+000  0.000E+000  1.868E+003  9.767E+002         NaN  0.000E+000
   6.146E+017  3.978E+001  1.000E+001  6.538E-002  5.576E-001  1.108E-010  0.000E+000  0.000E+000  1.868E+003  9.767E+002         NaN  0.000E+000
   6.586E+017  3.465E+001  1.000E+001  6.101E-002  5.774E-001  1.148E-010  0.000E+000  0.000E+000  1.868E+003  9.767E+002         NaN  0.000E+000
   7.057E+017  3.018E+001  1.000E+001  5.694E-002  5.966E-001  1.185E-010  0.000E+000  0.000E+000  1.868E+003  9.767E+002         NaN  0.000E+000
