  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS         H              RH             GH             H+             H-             GH2            H2+            RH2            H3+            He          
      1.020E+014     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     8.500E-002
      1.093E+014     9.593E-009     0.000E+000     0.000E+000     1.450E-014     9.939E-017     0.000E+000     1.514E-016     0.000E+000     2.356E-013     8.500E-002
      1.171E+014     9.591E-009     0.000E+000     0.000E+000     1.627E-014     1.141E-016     0.000E+000     1.738E-016     0.000E+000     2.670E-013     8.500E-002
      1.255E+014     9.626E-009     0.000E+000     0.000E+000     1.827E-014     1.310E-016     0.000E+000     1.996E-016     0.000E+000     3.025E-013     8.500E-002
      1.345E+014     9.691E-009     0.000E+000     0.000E+000     2.050E-014     1.504E-016     0.000E+000     2.291E-016     0.000E+000     3.428E-013     8.500E-002
      1.441E+014     9.781E-009     0.000E+000     0.000E+000     2.301E-014     1.727E-016     0.000E+000     2.631E-016     0.000E+000     3.883E-013     8.500E-002
      1.544E+014     9.890E-009     0.000E+000     0.000E+000     2.582E-014     1.983E-016     0.000E+000     3.020E-016     0.000E+000     4.399E-013     8.500E-002
      1.654E+014     1.001E-008     0.000E+000     0.000E+000     2.898E-014     2.276E-016     0.000E+000     3.468E-016     0.000E+000     4.982E-013     8.500E-002
      1.773E+014     1.015E-008     0.000E+000     0.000E+000     3.252E-014     2.613E-016     0.000E+000     3.981E-016     0.000E+000     5.642E-013     8.500E-002
      1.899E+014     1.031E-008     0.000E+000     0.000E+000     3.650E-014     3.000E-016     0.000E+000     4.571E-016     0.000E+000     6.388E-013     8.500E-002
      2.035E+014     1.048E-008     0.000E+000     0.000E+000     4.097E-014     3.445E-016     0.000E+000     5.248E-016     0.000E+000     7.232E-013     8.500E-002
      2.181E+014     1.070E-008     0.000E+000     0.000E+000     4.598E-014     3.955E-016     0.000E+000     6.026E-016     0.000E+000     8.187E-013     8.500E-002
      2.337E+014     1.096E-008     0.000E+000     0.000E+000     5.160E-014     4.540E-016     0.000E+000     6.918E-016     0.000E+000     9.266E-013     8.500E-002
      2.504E+014     1.127E-008     0.000E+000     0.000E+000     5.792E-014     5.212E-016     0.000E+000     7.943E-016     0.000E+000     1.049E-012     8.500E-002
      2.683E+014     1.165E-008     0.000E+000     0.000E+000     6.500E-014     5.984E-016     0.000E+000     9.120E-016     0.000E+000     1.187E-012     8.500E-002
      2.875E+014     1.211E-008     0.000E+000     0.000E+000     7.296E-014     6.870E-016     0.000E+000     1.047E-015     0.000E+000     1.342E-012     8.500E-002
      3.080E+014     1.263E-008     0.000E+000     0.000E+000     8.188E-014     7.887E-016     0.000E+000     1.202E-015     0.000E+000     1.519E-012     8.500E-002
      3.301E+014     1.322E-008     0.000E+000     0.000E+000     9.190E-014     9.054E-016     0.000E+000     1.380E-015     0.000E+000     1.718E-012     8.500E-002
      3.537E+014     1.389E-008     0.000E+000     0.000E+000     1.031E-013     1.039E-015     0.000E+000     1.585E-015     0.000E+000     1.942E-012     8.500E-002
      3.790E+014     1.463E-008     0.000E+000     0.000E+000     1.158E-013     1.193E-015     0.000E+000     1.819E-015     0.000E+000     2.196E-012     8.500E-002
      4.061E+014     1.544E-008     0.000E+000     0.000E+000     1.299E-013     1.370E-015     0.000E+000     2.089E-015     0.000E+000     2.483E-012     8.500E-002
      4.351E+014     1.633E-008     0.000E+000     0.000E+000     1.458E-013     1.573E-015     0.000E+000     2.398E-015     0.000E+000     2.807E-012     8.500E-002
      4.662E+014     1.729E-008     0.000E+000     0.000E+000     1.637E-013     1.805E-015     0.000E+000     2.754E-015     0.000E+000     3.173E-012     8.500E-002
      4.996E+014     1.835E-008     0.000E+000     0.000E+000     1.837E-013     2.072E-015     0.000E+000     3.162E-015     0.000E+000     3.586E-012     8.500E-002
      5.353E+014     1.954E-008     0.000E+000     0.000E+000     2.062E-013     2.379E-015     0.000E+000     3.630E-015     0.000E+000     4.053E-012     8.500E-002
      5.736E+014     2.089E-008     0.000E+000     0.000E+000     2.314E-013     2.731E-015     0.000E+000     4.168E-015     0.000E+000     4.579E-012     8.500E-002
      6.146E+014     2.248E-008     0.000E+000     0.000E+000     2.597E-013     3.135E-015     0.000E+000     4.785E-015     0.000E+000     5.174E-012     8.500E-002
      6.586E+014     2.447E-008     0.000E+000     0.000E+000     2.914E-013     3.598E-015     0.000E+000     5.494E-015     0.000E+000     5.844E-012     8.500E-002
      7.057E+014     2.708E-008     0.000E+000     0.000E+000     3.271E-013     4.129E-015     0.000E+000     6.307E-015     0.000E+000     6.601E-012     8.500E-002
      7.561E+014     3.068E-008     0.000E+000     0.000E+000     3.671E-013     4.739E-015     0.000E+000     7.242E-015     0.000E+000     7.455E-012     8.500E-002
      8.102E+014     3.586E-008     0.000E+000     0.000E+000     4.120E-013     5.437E-015     0.000E+000     8.314E-015     0.000E+000     8.418E-012     8.500E-002
      8.682E+014     4.347E-008     0.000E+000     0.000E+000     4.624E-013     6.237E-015     0.000E+000     9.546E-015     0.000E+000     9.504E-012     8.500E-002
      9.303E+014     5.483E-008     0.000E+000     0.000E+000     5.189E-013     7.151E-015     0.000E+000     1.096E-014     0.000E+000     1.073E-011     8.500E-002
      9.968E+014     7.184E-008     0.000E+000     0.000E+000     5.824E-013     8.196E-015     0.000E+000     1.258E-014     0.000E+000     1.211E-011     8.500E-002
      1.068E+015     9.727E-008     0.000E+000     0.000E+000     6.536E-013     9.387E-015     0.000E+000     1.445E-014     0.000E+000     1.367E-011     8.500E-002
