  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS         H              RH             GH             H+             H-             GH2            H2+            RH2            H3+            He          
      1.020E+014     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     8.500E-002
      1.093E+014     1.737E-002     0.000E+000     0.000E+000     9.670E-015     1.013E-017     0.000E+000     2.992E-017     0.000E+000     2.959E-014     8.500E-002
      1.171E+014     1.692E-002     0.000E+000     0.000E+000     1.086E-014     3.209E-016     0.000E+000     3.436E-017     0.000E+000     3.394E-014     8.500E-002
      1.255E+014     1.541E-002     0.000E+000     0.000E+000     1.176E-014     3.882E-015     0.000E+000     3.948E-017     0.000E+000     3.896E-014     8.500E-002
      1.345E+014     1.415E-002     0.000E+000     0.000E+000     1.279E-014     4.539E-015     0.000E+000     4.537E-017     0.000E+000     4.467E-014     8.500E-002
      1.441E+014     1.309E-002     0.000E+000     0.000E+000     1.399E-014     4.343E-015     0.000E+000     5.213E-017     0.000E+000     5.118E-014     8.500E-002
      1.544E+014     1.220E-002     0.000E+000     0.000E+000     1.536E-014     4.138E-015     0.000E+000     5.988E-017     0.000E+000     5.861E-014     8.500E-002
      1.654E+014     1.143E-002     0.000E+000     0.000E+000     1.693E-014     3.943E-015     0.000E+000     6.878E-017     0.000E+000     6.709E-014     8.500E-002
      1.773E+014     1.078E-002     0.000E+000     0.000E+000     1.873E-014     3.757E-015     0.000E+000     7.901E-017     0.000E+000     7.677E-014     8.500E-002
      1.899E+014     1.022E-002     0.000E+000     0.000E+000     2.079E-014     3.581E-015     0.000E+000     9.074E-017     0.000E+000     8.782E-014     8.500E-002
      2.035E+014     9.734E-003     0.000E+000     0.000E+000     2.313E-014     3.413E-015     0.000E+000     1.042E-016     0.000E+000     1.004E-013     8.500E-002
      2.181E+014     9.312E-003     0.000E+000     0.000E+000     2.580E-014     3.254E-015     0.000E+000     1.197E-016     0.000E+000     1.148E-013     8.500E-002
      2.337E+014     8.943E-003     0.000E+000     0.000E+000     2.884E-014     3.103E-015     0.000E+000     1.375E-016     0.000E+000     1.313E-013     8.500E-002
      2.504E+014     8.619E-003     0.000E+000     0.000E+000     3.229E-014     2.960E-015     0.000E+000     1.578E-016     0.000E+000     1.501E-013     8.500E-002
      2.683E+014     8.335E-003     0.000E+000     0.000E+000     3.622E-014     2.823E-015     0.000E+000     1.813E-016     0.000E+000     1.715E-013     8.500E-002
      2.875E+014     8.084E-003     0.000E+000     0.000E+000     4.068E-014     2.694E-015     0.000E+000     2.082E-016     0.000E+000     1.960E-013     8.500E-002
      3.080E+014     7.862E-003     0.000E+000     0.000E+000     4.574E-014     2.571E-015     0.000E+000     2.390E-016     0.000E+000     2.239E-013     8.500E-002
      3.301E+014     7.665E-003     0.000E+000     0.000E+000     5.150E-014     2.454E-015     0.000E+000     2.745E-016     0.000E+000     2.558E-013     8.500E-002
      3.537E+014     7.490E-003     0.000E+000     0.000E+000     5.803E-014     2.343E-015     0.000E+000     3.152E-016     0.000E+000     2.921E-013     8.500E-002
      3.790E+014     7.334E-003     0.000E+000     0.000E+000     6.544E-014     2.238E-015     0.000E+000     3.619E-016     0.000E+000     3.337E-013     8.500E-002
      4.061E+014     7.195E-003     0.000E+000     0.000E+000     7.386E-014     2.139E-015     0.000E+000     4.155E-016     0.000E+000     3.810E-013     8.500E-002
      4.351E+014     7.070E-003     0.000E+000     0.000E+000     8.341E-014     2.044E-015     0.000E+000     4.771E-016     0.000E+000     4.351E-013     8.500E-002
      4.662E+014     6.959E-003     0.000E+000     0.000E+000     9.426E-014     1.955E-015     0.000E+000     5.479E-016     0.000E+000     4.967E-013     8.500E-002
      4.996E+014     6.859E-003     0.000E+000     0.000E+000     1.066E-013     1.870E-015     0.000E+000     6.291E-016     0.000E+000     5.671E-013     8.500E-002
      5.353E+014     6.769E-003     0.000E+000     0.000E+000     1.205E-013     1.789E-015     0.000E+000     7.223E-016     0.000E+000     6.473E-013     8.500E-002
      5.736E+014     6.688E-003     0.000E+000     0.000E+000     1.364E-013     1.713E-015     0.000E+000     8.294E-016     0.000E+000     7.388E-013     8.500E-002
      6.146E+014     6.615E-003     0.000E+000     0.000E+000     1.544E-013     1.642E-015     0.000E+000     9.523E-016     0.000E+000     8.432E-013     8.500E-002
      6.586E+014     6.549E-003     0.000E+000     0.000E+000     1.748E-013     1.574E-015     0.000E+000     1.093E-015     0.000E+000     9.622E-013     8.500E-002
      7.057E+014     6.490E-003     0.000E+000     0.000E+000     1.979E-013     1.510E-015     0.000E+000     1.255E-015     0.000E+000     1.098E-012     8.500E-002
      7.561E+014     6.436E-003     0.000E+000     0.000E+000     2.242E-013     1.450E-015     0.000E+000     1.441E-015     0.000E+000     1.253E-012     8.500E-002
      8.102E+014     6.388E-003     0.000E+000     0.000E+000     2.540E-013     1.394E-015     0.000E+000     1.655E-015     0.000E+000     1.429E-012     8.500E-002
      8.682E+014     6.344E-003     0.000E+000     0.000E+000     2.879E-013     1.341E-015     0.000E+000     1.900E-015     0.000E+000     1.630E-012     8.500E-002
      9.303E+014     6.305E-003     0.000E+000     0.000E+000     3.262E-013     1.292E-015     0.000E+000     2.182E-015     0.000E+000     1.859E-012     8.500E-002
      9.968E+014     6.269E-003     0.000E+000     0.000E+000     3.698E-013     1.246E-015     0.000E+000     2.505E-015     0.000E+000     2.120E-012     8.500E-002
      1.068E+015     6.236E-003     0.000E+000     0.000E+000     4.191E-013     1.203E-015     0.000E+000     2.876E-015     0.000E+000     2.418E-012     8.500E-002
      1.144E+015     6.207E-003     0.000E+000     0.000E+000     4.752E-013     1.164E-015     0.000E+000     3.303E-015     0.000E+000     2.757E-012     8.500E-002
      1.226E+015     6.180E-003     0.000E+000     0.000E+000     5.387E-013     1.128E-015     0.000E+000     3.792E-015     0.000E+000     3.143E-012     8.500E-002
      1.314E+015     6.156E-003     0.000E+000     0.000E+000     6.107E-013     1.096E-015     0.000E+000     4.354E-015     0.000E+000     3.582E-012     8.500E-002
      1.408E+015     6.134E-003     0.000E+000     0.000E+000     6.924E-013     1.066E-015     0.000E+000     4.999E-015     0.000E+000     4.083E-012     8.500E-002
      1.509E+015     6.114E-003     0.000E+000     0.000E+000     7.850E-013     1.041E-015     0.000E+000     5.739E-015     0.000E+000     4.654E-012     8.500E-002
      1.617E+015     6.096E-003     0.000E+000     0.000E+000     8.900E-013     1.018E-015     0.000E+000     6.590E-015     0.000E+000     5.303E-012     8.500E-002
