  **  PHYSICAL PARAMETERS  **


   RADIUS      n(H2)       TEMP.       A_V         RAD.FIELD   K(ICOR)     K(ICOIP)    K(ICOAP)    DELTA_AUV   T_DUST      NMONO       ALL_ICE     
   1.020E+014  4.333E+007  1.415E+003  1.182E+001  3.091E-026  0.000E+000  0.000E+000  0.000E+000  1.099E+000  9.767E+002  0.000E+000  0.000E+000
   1.093E+014  3.774E+007  1.348E+003  1.103E+001  1.318E-024  0.000E+000  1.390E-023  9.418E-014  4.767E+000  9.767E+002         NaN  0.000E+000
   1.171E+014  3.287E+007  1.284E+003  1.029E+001  4.406E-023  0.000E+000  1.652E-025  1.120E-015  8.190E+000  9.767E+002         NaN  0.000E+000
   1.255E+014  2.863E+007  1.224E+003  9.606E+000  1.172E-021  0.000E+000  3.973E-027  2.693E-017  1.138E+001  9.767E+002         NaN  0.000E+000
   1.345E+014  2.493E+007  1.166E+003  8.965E+000  2.517E-020  0.000E+000  1.387E-028  9.402E-019  1.437E+001  9.767E+002         NaN  0.000E+000
   1.441E+014  2.172E+007  1.111E+003  8.366E+000  4.423E-019  0.000E+000  7.006E-030  4.748E-020  1.715E+001  9.767E+002         NaN  0.000E+000
   1.544E+014  1.892E+007  1.058E+003  7.808E+000  6.444E-018  0.000E+000  0.000E+000  0.000E+000  1.974E+001  9.767E+002         NaN  0.000E+000
   1.654E+014  1.647E+007  1.008E+003  7.287E+000  7.875E-017  0.000E+000  0.000E+000  0.000E+000  2.217E+001  9.767E+002         NaN  0.000E+000
   1.773E+014  1.435E+007  9.608E+002  6.800E+000  8.166E-016  0.000E+000  0.000E+000  0.000E+000  2.443E+001  9.767E+002         NaN  0.000E+000
   1.899E+014  1.250E+007  9.154E+002  6.347E+000  7.262E-015  0.000E+000  0.000E+000  0.000E+000  2.654E+001  9.767E+002         NaN  0.000E+000
   2.035E+014  1.088E+007  8.722E+002  5.923E+000  5.593E-014  0.000E+000  0.000E+000  0.000E+000  2.851E+001  9.767E+002         NaN  0.000E+000
   2.181E+014  9.480E+006  8.310E+002  5.528E+000  3.767E-013  0.000E+000  0.000E+000  0.000E+000  3.035E+001  9.767E+002         NaN  0.000E+000
   2.337E+014  8.257E+006  7.918E+002  5.159E+000  2.238E-012  0.000E+000  0.000E+000  0.000E+000  3.206E+001  9.767E+002         NaN  0.000E+000
   2.504E+014  7.191E+006  7.544E+002  4.814E+000  1.183E-011  0.000E+000  0.000E+000  0.000E+000  3.367E+001  9.767E+002         NaN  0.000E+000
   2.683E+014  6.263E+006  7.188E+002  4.493E+000  5.610E-011  0.000E+000  0.000E+000  0.000E+000  3.516E+001  9.767E+002         NaN  0.000E+000
   2.875E+014  5.455E+006  6.849E+002  4.193E+000  2.403E-010  0.000E+000  0.000E+000  0.000E+000  3.655E+001  9.767E+002         NaN  0.000E+000
   3.080E+014  4.751E+006  6.526E+002  3.913E+000  9.362E-010  1.669E-022  0.000E+000  0.000E+000  3.786E+001  9.767E+002         NaN  0.000E+000
   3.301E+014  4.138E+006  6.217E+002  3.652E+000  3.341E-009  5.624E-022  0.000E+000  0.000E+000  3.907E+001  9.767E+002         NaN  0.000E+000
